Well_Combinations,,,,,
Plate,Well,384 well plate,384 well location,Sample #,Combination
2,A1,1,G19,97,"D-Alanine, L-Alanine, L-Proline, L-Valine"
2,B1,1,H11,98,"D-Alanine, L-Alanine, L-Histidine, L-Glutamic Acid"
2,C1,1,I03,99,"D-Alanine, L-Alanine, L-Histidine, L-Cytosine"
2,D1,1,I15,100,"D-Alanine, L-Alanine, L-Histidine, DL-Serine"
2,E1,1,J07,101,"D-Alanine, L-Alanine, L-Histidine, L-Valine"
2,F1,1,J19,102,"D-Alanine, L-Alanine, L-Glutamic Acid, L-Cytosine"
2,G1,1,K11,103,"D-Alanine, L-Alanine, L-Glutamic Acid, DL-Serine"
2,H1,1,L11,104,"D-Alanine, L-Alanine, L-Glutamic Acid, L-Valine"
2,A2,1,G20,105,"D-Alanine, L-Alanine, L-Cytosine, DL-Serine"
2,B2,1,H12,106,"D-Alanine, L-Alanine, L-Cytosine, L-Valine"
2,C2,1,I04,107,"D-Alanine, L-Alanine, DL-Serine, L-Valine"
2,D2,1,I16,108,"D-Alanine, L-Proline, L-Histidine, L-Glutamic Acid"
2,E2,1,J03,109,"D-Alanine, L-Proline, L-Histidine, L-Cytosine"
2,F2,1,J20,110,"D-Alanine, L-Proline, L-Histidine, DL-Serine"
2,G2,1,K12,111,"D-Alanine, L-Proline, L-Histidine, L-Valine"
2,H2,1,L12,112,"D-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine"
2,A3,1,G21,113,"D-Alanine, L-Proline, L-Glutamic Acid, DL-Serine"
2,B3,1,H13,114,"D-Alanine, L-Proline, L-Glutamic Acid, L-Valine"
2,C3,1,I05,115,"D-Alanine, L-Proline, L-Cytosine, DL-Serine"
2,D3,1,I17,116,"D-Alanine, L-Proline, L-Cytosine, L-Valine"
2,E3,1,J09,117,"D-Alanine, L-Proline, DL-Serine, L-Valine"
2,F3,1,J21,118,"D-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine"
2,G3,1,K13,119,"D-Alanine, L-Histidine, L-Glutamic Acid, DL-Serine"
2,H3,1,L13,120,"D-Alanine, L-Histidine, L-Glutamic Acid, L-Valine"
2,A4,1,G22,121,"D-Alanine, L-Histidine, L-Cytosine, DL-Serine"
2,B4,1,H14,122,"D-Alanine, L-Histidine, L-Cytosine, L-Valine"
2,C4,1,I06,123,"D-Alanine, L-Histidine, DL-Serine, L-Valine"
2,D4,1,I18,124,"D-Alanine, L-Glutamic Acid, L-Cytosine, DL-Serine"
2,E4,1,J10,125,"D-Alanine, L-Glutamic Acid, L-Cytosine, L-Valine"
