Well_Combinations,,,,,,,,,
Plate,Well,384 well plate,384 well location,,Combination,,,,
1,G8,1,F05,63,"L-Alanine, L-Histidine, L-Glutamic Acid",,,,
1,H8,1,F06,64,"L-Alanine, L-Histidine, L-Cytosine",,,,
1,A9,1,F07,65,"L-Alanine, L-Histidine, DL-Serine",,,,
1,B9,1,F08,66,"L-Alanine, L-Histidine, L-Valine",,,,
1,C9,1,F09,67,"L-Alanine, L-Glutamic Acid, L-Cytosine",,,,
1,D9,1,F10,68,"L-Alanine, L-Glutamic Acid, DL-Serine",,,,
1,E9,1,F11,69,"L-Alanine, L-Glutamic Acid, L-Valine",,,,
1,F9,1,F12,70,"L-Alanine, L-Cytosine, DL-Serine",,,,
1,G9,1,F13,71,"L-Alanine, L-Cytosine, L-Valine",,,,
1,H9,1,F14,72,"L-Alanine, DL-Serine, L-Valine",,,,
1,A10,1,F15,73,"L-Proline, L-Histidine, L-Glutamic Acid",,,,
1,B10,1,F16,74,"L-Proline, L-Histidine, L-Cytosine",,,,
1,C10,1,F17,75,"L-Proline, L-Histidine, DL-Serine",,,,
1,D10,1,F18,76,"L-Proline, L-Histidine, L-Valine",,,,
1,E10,1,F19,77,"L-Proline, L-Glutamic Acid, L-Cytosine",,,,
1,F10,1,F20,78,"L-Proline, L-Glutamic Acid, DL-Serine",,,,
1,G10,1,F21,79,"L-Proline, L-Glutamic Acid, L-Valine",,,,
1,H10,1,F22,80,"L-Proline, L-Cytosine, DL-Serine",,,,
1,A11,1,G03,81,"L-Proline, L-Cytosine, L-Valine",,,,
1,B11,1,G04,82,"L-Proline, DL-Serine, L-Valine",,,,
1,C11,1,G05,83,"L-Histidine, L-Glutamic Acid, L-Cytosine",,,,
1,D11,1,G06,84,"L-Histidine, L-Glutamic Acid, DL-Serine",,,,
1,E11,1,G07,85,"L-Histidine, L-Glutamic Acid, L-Valine",,,,
1,F11,1,G08,86,"L-Histidine, L-Cytosine, DL-Serine",,,,
1,G11,1,G09,87,"L-Histidine, L-Cytosine, L-Valine",,,,
1,H11,1,G10,88,"L-Histidine, DL-Serine, L-Valine",,,,
1,A12,1,G11,89,"L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
1,B12,1,G12,90,"L-Glutamic Acid, L-Cytosine, L-Valine",,,,
1,C12,1,G13,91,"L-Glutamic Acid, DL-Serine, L-Valine",,,,
1,D12,1,G14,92,"L-Cytosine, DL-Serine, L-Valine",,,,
1,E12,1,G15,93,"D-Alanine, L-Alanine, L-Proline, L-Histidine",,,,
1,F12,1,G16,94,"D-Alanine, L-Alanine, L-Proline, L-Glutamic Acid",,,,
1,G12,1,G17,95,"D-Alanine, L-Alanine, L-Proline, L-Cytosine",,,,
1,H12,1,G18,96,"D-Alanine, L-Alanine, L-Proline, DL-Serine",,,,
2,A1,1,G19,97,"D-Alanine, L-Alanine, L-Proline, L-Valine",,,,
2,B1,1,G20,98,"D-Alanine, L-Alanine, L-Histidine, L-Glutamic Acid",,,,
2,C1,1,G21,99,"D-Alanine, L-Alanine, L-Histidine, L-Cytosine",,,,
2,D1,1,G22,100,"D-Alanine, L-Alanine, L-Histidine, DL-Serine",,,,
2,E1,1,H03,101,"D-Alanine, L-Alanine, L-Histidine, L-Valine",,,,
2,F1,1,H04,102,"D-Alanine, L-Alanine, L-Glutamic Acid, L-Cytosine",,,,
2,G1,1,H05,103,"D-Alanine, L-Alanine, L-Glutamic Acid, DL-Serine",,,,
2,H1,1,H06,104,"D-Alanine, L-Alanine, L-Glutamic Acid, L-Valine",,,,
2,A2,1,H07,105,"D-Alanine, L-Alanine, L-Cytosine, DL-Serine",,,,
2,B2,1,H08,106,"D-Alanine, L-Alanine, L-Cytosine, L-Valine",,,,
2,C2,1,H09,107,"D-Alanine, L-Alanine, DL-Serine, L-Valine",,,,
2,D2,1,H10,108,"D-Alanine, L-Proline, L-Histidine, L-Glutamic Acid",,,,
2,E2,1,H11,109,"D-Alanine, L-Proline, L-Histidine, L-Cytosine",,,,
2,F2,1,H12,110,"D-Alanine, L-Proline, L-Histidine, DL-Serine",,,,
2,G2,1,H13,111,"D-Alanine, L-Proline, L-Histidine, L-Valine",,,,
2,H2,1,H14,112,"D-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine",,,,
2,A3,1,H15,113,"D-Alanine, L-Proline, L-Glutamic Acid, DL-Serine",,,,
2,B3,1,H16,114,"D-Alanine, L-Proline, L-Glutamic Acid, L-Valine",,,,
2,C3,1,H17,115,"D-Alanine, L-Proline, L-Cytosine, DL-Serine",,,,
2,D3,1,H18,116,"D-Alanine, L-Proline, L-Cytosine, L-Valine",,,,
2,E3,1,H19,117,"D-Alanine, L-Proline, DL-Serine, L-Valine",,,,
2,F3,1,H20,118,"D-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine",,,,
2,G3,1,H21,119,"D-Alanine, L-Histidine, L-Glutamic Acid, DL-Serine",,,,
2,H3,1,H22,120,"D-Alanine, L-Histidine, L-Glutamic Acid, L-Valine",,,,
2,A4,1,I03,121,"D-Alanine, L-Histidine, L-Cytosine, DL-Serine",,,,
2,B4,1,I04,122,"D-Alanine, L-Histidine, L-Cytosine, L-Valine",,,,
2,C4,1,I05,123,"D-Alanine, L-Histidine, DL-Serine, L-Valine",,,,
2,D4,1,I06,124,"D-Alanine, L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
2,E4,1,I07,125,"D-Alanine, L-Glutamic Acid, L-Cytosine, L-Valine",,,,
2,F4,1,I08,126,"D-Alanine, L-Glutamic Acid, DL-Serine, L-Valine",,,,
2,G4,1,I09,127,"D-Alanine, L-Cytosine, DL-Serine, L-Valine",,,,
2,H4,1,I10,128,"L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid",,,,
2,A5,1,I11,129,"L-Alanine, L-Proline, L-Histidine, L-Cytosine",,,,
2,B5,1,I12,130,"L-Alanine, L-Proline, L-Histidine, DL-Serine",,,,
2,C5,1,I13,131,"L-Alanine, L-Proline, L-Histidine, L-Valine",,,,
2,D5,1,I14,132,"L-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine",,,,
2,E5,1,I15,133,"L-Alanine, L-Proline, L-Glutamic Acid, DL-Serine",,,,
2,F5,1,I16,134,"L-Alanine, L-Proline, L-Glutamic Acid, L-Valine",,,,
2,G5,1,I17,135,"L-Alanine, L-Proline, L-Cytosine, DL-Serine",,,,
2,H5,1,I18,136,"L-Alanine, L-Proline, L-Cytosine, L-Valine",,,,
2,A6,1,I19,137,"L-Alanine, L-Proline, DL-Serine, L-Valine",,,,
2,B6,1,I20,138,"L-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine",,,,
2,C6,1,I21,139,"L-Alanine, L-Histidine, L-Glutamic Acid, DL-Serine",,,,
2,D6,1,I22,140,"L-Alanine, L-Histidine, L-Glutamic Acid, L-Valine",,,,
2,E6,1,J03,141,"L-Alanine, L-Histidine, L-Cytosine, DL-Serine",,,,
2,F6,1,J04,142,"L-Alanine, L-Histidine, L-Cytosine, L-Valine",,,,
2,G6,1,J05,143,"L-Alanine, L-Histidine, DL-Serine, L-Valine",,,,
2,H6,1,J06,144,"L-Alanine, L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
2,A7,1,J07,145,"L-Alanine, L-Glutamic Acid, L-Cytosine, L-Valine",,,,
2,B7,1,J08,146,"L-Alanine, L-Glutamic Acid, DL-Serine, L-Valine",,,,
2,C7,1,J09,147,"L-Alanine, L-Cytosine, DL-Serine, L-Valine",,,,
2,D7,1,J10,148,"L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine",,,,
2,E7,1,J11,149,"L-Proline, L-Histidine, L-Glutamic Acid, DL-Serine",,,,
2,F7,1,J12,150,"L-Proline, L-Histidine, L-Glutamic Acid, L-Valine",,,,
2,G7,1,J13,151,"L-Proline, L-Histidine, L-Cytosine, DL-Serine",,,,
2,H7,1,J14,152,"L-Proline, L-Histidine, L-Cytosine, L-Valine",,,,
2,A8,1,J15,153,"L-Proline, L-Histidine, DL-Serine, L-Valine",,,,
2,B8,1,J16,154,"L-Proline, L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
2,C8,1,J17,155,"L-Proline, L-Glutamic Acid, L-Cytosine, L-Valine",,,,
2,D8,1,J18,156,"L-Proline, L-Glutamic Acid, DL-Serine, L-Valine",,,,
2,E8,1,J19,157,"L-Proline, L-Cytosine, DL-Serine, L-Valine",,,,
2,F8,1,J20,158,"L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
2,G8,1,J21,159,"L-Histidine, L-Glutamic Acid, L-Cytosine, L-Valine",,,,
2,H8,1,J22,160,"L-Histidine, L-Glutamic Acid, DL-Serine, L-Valine",,,,
2,A9,1,K03,161,"L-Histidine, L-Cytosine, DL-Serine, L-Valine",,,,
2,B9,1,K04,162,"L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine",,,,
2,C9,1,K05,163,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid",,,,
2,D9,1,K06,164,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Cytosine",,,,
2,E9,1,K07,165,"D-Alanine, L-Alanine, L-Proline, L-Histidine, DL-Serine",,,,
2,F9,1,K08,166,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Valine",,,,
2,G9,1,K09,167,"D-Alanine, L-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine",,,,
2,H9,1,K10,168,"D-Alanine, L-Alanine, L-Proline, L-Glutamic Acid, DL-Serine",,,,
2,A10,1,K11,169,"D-Alanine, L-Alanine, L-Proline, L-Glutamic Acid, L-Valine",,,,
2,B10,1,K12,170,"D-Alanine, L-Alanine, L-Proline, L-Cytosine, DL-Serine",,,,
2,C10,1,K13,171,"D-Alanine, L-Alanine, L-Proline, L-Cytosine, L-Valine",,,,
2,D10,1,K14,172,"D-Alanine, L-Alanine, L-Proline, DL-Serine, L-Valine",,,,
2,E10,1,K15,173,"D-Alanine, L-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine",,,,
2,F10,1,K16,174,"D-Alanine, L-Alanine, L-Histidine, L-Glutamic Acid, DL-Serine",,,,
2,G10,1,K17,175,"D-Alanine, L-Alanine, L-Histidine, L-Glutamic Acid, L-Valine",,,,
2,H10,1,K18,176,"D-Alanine, L-Alanine, L-Histidine, L-Cytosine, DL-Serine",,,,
2,A11,1,K19,177,"D-Alanine, L-Alanine, L-Histidine, L-Cytosine, L-Valine",,,,
2,B11,1,K20,178,"D-Alanine, L-Alanine, L-Histidine, DL-Serine, L-Valine",,,,
