LC File number (blanks=no data),,Contents of Sample,,,,
182,,"D-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine",,,,
99,,"D-Alanine, L-Proline, L-Glutamic Acid, DL-Serine",,,,
111,,"D-Alanine, L-Proline, L-Glutamic Acid, L-Valine",,,,
123,,"D-Alanine, L-Proline, L-Cytosine, DL-Serine",,,,
135,,"D-Alanine, L-Proline, L-Cytosine, L-Valine",,,,
147,,"D-Alanine, L-Proline, DL-Serine, L-Valine",,,,
159,,"D-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine",,,,
171,,"D-Alanine, L-Histidine, L-Glutamic Acid, DL-Serine",,,,
183,,"D-Alanine, L-Histidine, L-Glutamic Acid, L-Valine",,,,
100,,"D-Alanine, L-Histidine, L-Cytosine, DL-Serine",,,,
112,,"D-Alanine, L-Histidine, L-Cytosine, L-Valine",,,,
124,,"D-Alanine, L-Histidine, DL-Serine, L-Valine",,,,
136,,"D-Alanine, L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
148,,"D-Alanine, L-Glutamic Acid, L-Cytosine, L-Valine",,,,
160,,"D-Alanine, L-Glutamic Acid, DL-Serine, L-Valine",,,,
172,,"D-Alanine, L-Cytosine, DL-Serine, L-Valine",,,,
184,,"L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid",,,,
101,,"L-Alanine, L-Proline, L-Histidine, L-Cytosine",,,,
113,,"L-Alanine, L-Proline, L-Histidine, DL-Serine",,,,
125,,"L-Alanine, L-Proline, L-Histidine, L-Valine",,,,
137,,"L-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine",,,,
149,,"L-Alanine, L-Proline, L-Glutamic Acid, DL-Serine",,,,
161,,"L-Alanine, L-Proline, L-Glutamic Acid, L-Valine",,,,
173,,"L-Alanine, L-Proline, L-Cytosine, DL-Serine",,,,
185,,"L-Alanine, L-Proline, L-Cytosine, L-Valine",,,,
102,,"L-Alanine, L-Proline, DL-Serine, L-Valine",,,,
114,,"L-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine",,,,
126,,"L-Alanine, L-Histidine, L-Glutamic Acid, DL-Serine",,,,
138,,"L-Alanine, L-Histidine, L-Glutamic Acid, L-Valine",,,,
150,,"L-Alanine, L-Histidine, L-Cytosine, DL-Serine",,,,
162,,"L-Alanine, L-Histidine, L-Cytosine, L-Valine",,,,
174,,"L-Alanine, L-Histidine, DL-Serine, L-Valine",,,,
186,,"L-Alanine, L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
103,,"L-Alanine, L-Glutamic Acid, L-Cytosine, L-Valine",,,,
115,,"L-Alanine, L-Glutamic Acid, DL-Serine, L-Valine",,,,
127,,"L-Alanine, L-Cytosine, DL-Serine, L-Valine",,,,
139,,"L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine",,,,
151,,"L-Proline, L-Histidine, L-Glutamic Acid, DL-Serine",,,,
163,,"L-Proline, L-Histidine, L-Glutamic Acid, L-Valine",,,,
175,,"L-Proline, L-Histidine, L-Cytosine, DL-Serine",,,,
187,,"L-Proline, L-Histidine, L-Cytosine, L-Valine",,,,
104,,"L-Proline, L-Histidine, DL-Serine, L-Valine",,,,
116,,"L-Proline, L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
128,,"L-Proline, L-Glutamic Acid, L-Cytosine, L-Valine",,,,
140,,"L-Proline, L-Glutamic Acid, DL-Serine, L-Valine",,,,
152,,"L-Proline, L-Cytosine, DL-Serine, L-Valine",,,,
164,,"L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
176,,"L-Histidine, L-Glutamic Acid, L-Cytosine, L-Valine",,,,
188,,"L-Histidine, L-Glutamic Acid, DL-Serine, L-Valine",,,,
105,,"L-Histidine, L-Cytosine, DL-Serine, L-Valine",,,,
117,,"L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine",,,,
129,,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid",,,,
141,,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Cytosine",,,,
153,,"D-Alanine, L-Alanine, L-Proline, L-Histidine, DL-Serine",,,,
165,,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Valine",,,,
177,,"D-Alanine, L-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine",,,,
189,,"D-Alanine, L-Alanine, L-Proline, L-Glutamic Acid, DL-Serine",,,,
106,,"D-Alanine, L-Alanine, L-Proline, L-Glutamic Acid, L-Valine",,,,
118,,"D-Alanine, L-Alanine, L-Proline, L-Cytosine, DL-Serine",,,,
130,,"D-Alanine, L-Alanine, L-Proline, L-Cytosine, L-Valine",,,,
