sample #,plate,96 well,LC Data File,,,,,,
95,1,G12,84,,"D-Alanine, L-Alanine, L-Proline, L-Cytosine",,,,
96,1,H12,96,,"D-Alanine, L-Alanine, L-Proline, DL-Serine",,,,
97,2,A1,97,,"D-Alanine, L-Alanine, L-Proline, L-Valine",,,,
98,2,B1,109,,"D-Alanine, L-Alanine, L-Histidine, L-Glutamic Acid",,,,
99,2,C1,121,,"D-Alanine, L-Alanine, L-Histidine, L-Cytosine",,,,
100,2,D1,133,,"D-Alanine, L-Alanine, L-Histidine, DL-Serine",,,,
101,2,E1,145,,"D-Alanine, L-Alanine, L-Histidine, L-Valine",,,,
102,2,F1,157,,"D-Alanine, L-Alanine, L-Glutamic Acid, L-Cytosine",,,,
103,2,G1,169,,"D-Alanine, L-Alanine, L-Glutamic Acid, DL-Serine",,,,
104,2,H1,181,,"D-Alanine, L-Alanine, L-Glutamic Acid, L-Valine",,,,
105,2,A2,98,,"D-Alanine, L-Alanine, L-Cytosine, DL-Serine",,,,
106,2,B2,110,,"D-Alanine, L-Alanine, L-Cytosine, L-Valine",,,,
107,2,C2,122,,"D-Alanine, L-Alanine, DL-Serine, L-Valine",,,,
108,2,D2,134,,"D-Alanine, L-Proline, L-Histidine, L-Glutamic Acid",,,,
109,2,E2,146,,"D-Alanine, L-Proline, L-Histidine, L-Cytosine",,,,
110,2,F2,158,,"D-Alanine, L-Proline, L-Histidine, DL-Serine",,,,
111,2,G2,170,,"D-Alanine, L-Proline, L-Histidine, L-Valine",,,,
112,2,H2,182,,"D-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine",,,,
113,2,A3,99,,"D-Alanine, L-Proline, L-Glutamic Acid, DL-Serine",,,,
114,2,B3,111,,"D-Alanine, L-Proline, L-Glutamic Acid, L-Valine",,,,
115,2,C3,123,,"D-Alanine, L-Proline, L-Cytosine, DL-Serine",,,,
116,2,D3,135,,"D-Alanine, L-Proline, L-Cytosine, L-Valine",,,,
117,2,E3,147,,"D-Alanine, L-Proline, DL-Serine, L-Valine",,,,
118,2,F3,159,,"D-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine",,,,
119,2,G3,171,,"D-Alanine, L-Histidine, L-Glutamic Acid, DL-Serine",,,,
120,2,H3,183,,"D-Alanine, L-Histidine, L-Glutamic Acid, L-Valine",,,,
121,2,A4,100,,"D-Alanine, L-Histidine, L-Cytosine, DL-Serine",,,,
122,2,B4,112,,"D-Alanine, L-Histidine, L-Cytosine, L-Valine",,,,
123,2,C4,124,,"D-Alanine, L-Histidine, DL-Serine, L-Valine",,,,
124,2,D4,136,,"D-Alanine, L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
125,2,E4,148,,"D-Alanine, L-Glutamic Acid, L-Cytosine, L-Valine",,,,
126,2,F4,160,,"D-Alanine, L-Glutamic Acid, DL-Serine, L-Valine",,,,
127,2,G4,172,,"D-Alanine, L-Cytosine, DL-Serine, L-Valine",,,,
128,2,H4,184,,"L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid",,,,
129,2,A5,101,,"L-Alanine, L-Proline, L-Histidine, L-Cytosine",,,,
130,2,B5,113,,"L-Alanine, L-Proline, L-Histidine, DL-Serine",,,,
131,2,C5,125,,"L-Alanine, L-Proline, L-Histidine, L-Valine",,,,
132,2,D5,137,,"L-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine",,,,
133,2,E5,149,,"L-Alanine, L-Proline, L-Glutamic Acid, DL-Serine",,,,
134,2,F5,161,,"L-Alanine, L-Proline, L-Glutamic Acid, L-Valine",,,,
135,2,G5,173,,"L-Alanine, L-Proline, L-Cytosine, DL-Serine",,,,
136,2,H5,185,,"L-Alanine, L-Proline, L-Cytosine, L-Valine",,,,
137,2,A6,102,,"L-Alanine, L-Proline, DL-Serine, L-Valine",,,,
138,2,B6,114,,"L-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine",,,,
139,2,C6,126,,"L-Alanine, L-Histidine, L-Glutamic Acid, DL-Serine",,,,
140,2,D6,138,,"L-Alanine, L-Histidine, L-Glutamic Acid, L-Valine",,,,
141,2,E6,150,,"L-Alanine, L-Histidine, L-Cytosine, DL-Serine",,,,
142,2,F6,162,,"L-Alanine, L-Histidine, L-Cytosine, L-Valine",,,,
143,2,G6,174,,"L-Alanine, L-Histidine, DL-Serine, L-Valine",,,,
144,2,H6,186,,"L-Alanine, L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
145,2,A7,103,,"L-Alanine, L-Glutamic Acid, L-Cytosine, L-Valine",,,,
146,2,B7,115,,"L-Alanine, L-Glutamic Acid, DL-Serine, L-Valine",,,,
147,2,C7,127,,"L-Alanine, L-Cytosine, DL-Serine, L-Valine",,,,
148,2,D7,139,,"L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine",,,,
149,2,E7,151,,"L-Proline, L-Histidine, L-Glutamic Acid, DL-Serine",,,,
150,2,F7,163,,"L-Proline, L-Histidine, L-Glutamic Acid, L-Valine",,,,
151,2,G7,175,,"L-Proline, L-Histidine, L-Cytosine, DL-Serine",,,,
152,2,H7,187,,"L-Proline, L-Histidine, L-Cytosine, L-Valine",,,,
153,2,A8,104,,"L-Proline, L-Histidine, DL-Serine, L-Valine",,,,
154,2,B8,116,,"L-Proline, L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
155,2,C8,128,,"L-Proline, L-Glutamic Acid, L-Cytosine, L-Valine",,,,
156,2,D8,140,,"L-Proline, L-Glutamic Acid, DL-Serine, L-Valine",,,,
157,2,E8,152,,"L-Proline, L-Cytosine, DL-Serine, L-Valine",,,,
158,2,F8,164,,"L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
159,2,G8,176,,"L-Histidine, L-Glutamic Acid, L-Cytosine, L-Valine",,,,
160,2,H8,188,,"L-Histidine, L-Glutamic Acid, DL-Serine, L-Valine",,,,
161,2,A9,105,,"L-Histidine, L-Cytosine, DL-Serine, L-Valine",,,,
162,2,B9,117,,"L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine",,,,
163,2,C9,129,,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid",,,,
164,2,D9,141,,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Cytosine",,,,
165,2,E9,153,,"D-Alanine, L-Alanine, L-Proline, L-Histidine, DL-Serine",,,,
166,2,F9,165,,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Valine",,,,
167,2,G9,177,,"D-Alanine, L-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine",,,,
168,2,H9,189,,"D-Alanine, L-Alanine, L-Proline, L-Glutamic Acid, DL-Serine",,,,
169,2,A10,106,,"D-Alanine, L-Alanine, L-Proline, L-Glutamic Acid, L-Valine",,,,
170,2,B10,118,,"D-Alanine, L-Alanine, L-Proline, L-Cytosine, DL-Serine",,,,
171,2,C10,130,,"D-Alanine, L-Alanine, L-Proline, L-Cytosine, L-Valine",,,,
172,2,D10,142,,"D-Alanine, L-Alanine, L-Proline, DL-Serine, L-Valine",,,,
173,2,E10,154,,"D-Alanine, L-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine",,,,
174,2,F10,166,,"D-Alanine, L-Alanine, L-Histidine, L-Glutamic Acid, DL-Serine",,,,
175,2,G10,178,,"D-Alanine, L-Alanine, L-Histidine, L-Glutamic Acid, L-Valine",,,,
176,2,H10,190,,"D-Alanine, L-Alanine, L-Histidine, L-Cytosine, DL-Serine",,,,
177,2,A11,107,,"D-Alanine, L-Alanine, L-Histidine, L-Cytosine, L-Valine",,,,
178,2,B11,119,,"D-Alanine, L-Alanine, L-Histidine, DL-Serine, L-Valine",,,,
179,2,C11,131,,"D-Alanine, L-Alanine, L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
180,2,D11,143,,"D-Alanine, L-Alanine, L-Glutamic Acid, L-Cytosine, L-Valine",,,,
181,2,E11,155,,"D-Alanine, L-Alanine, L-Glutamic Acid, DL-Serine, L-Valine",,,,
182,2,F11,167,,"D-Alanine, L-Alanine, L-Cytosine, DL-Serine, L-Valine",,,,
183,2,G11,179,,"D-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine",,,,
184,2,H11,191,,"D-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, DL-Serine",,,,
185,2,A12,108,,"D-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Valine",,,,
186,2,B12,120,,"D-Alanine, L-Proline, L-Histidine, L-Cytosine, DL-Serine",,,,
187,2,C12,132,,"D-Alanine, L-Proline, L-Histidine, L-Cytosine, L-Valine",,,,
188,2,D12,144,,"D-Alanine, L-Proline, L-Histidine, DL-Serine, L-Valine",,,,
189,2,E12,156,,"D-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
190,2,F12,168,,"D-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine, L-Valine",,,,
191,2,G12,180,,"D-Alanine, L-Proline, L-Glutamic Acid, DL-Serine, L-Valine",,,,
192,2,H12,192,,"D-Alanine, L-Proline, L-Cytosine, DL-Serine, L-Valine",,,,
,,,samples tested,LC Data File,,,,,
193,,A1,A1,193,"D-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
194,,B1,B1,201,"D-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine, L-Valine",,,,
195,,C1,C1,209,"D-Alanine, L-Histidine, L-Glutamic Acid, DL-Serine, L-Valine",,,,
196,,D1,D1,217,"D-Alanine, L-Histidine, L-Cytosine, DL-Serine, L-Valine",,,,
